config_name,risk_scenario,strike_scenario,sizing_scenario,strategy_scenario,success,total_return,max_drawdown,sharpe_ratio,win_rate,num_trades,circuit_breaker
very_aggressive_base_small_all_enabled,very_aggressive,base,small,all_enabled,True,59.01,3.41,5.51,60.00,5,False
very_aggressive_base_small_high_conviction,very_aggressive,base,small,high_conviction,True,18.42,4.22,4.06,33.30,3,False
very_aggressive_base_small_msft_only,very_aggressive,base,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
very_aggressive_base_normal_all_enabled,very_aggressive,base,normal,all_enabled,True,11.76,8.75,2.16,0.00,2,False
very_aggressive_base_normal_high_conviction,very_aggressive,base,normal,high_conviction,True,11.76,8.75,2.16,0.00,2,False
very_aggressive_base_normal_msft_only,very_aggressive,base,normal,msft_only,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_base_large_all_enabled,very_aggressive,base,large,all_enabled,True,12.56,10.63,2.03,0.00,2,False
very_aggressive_base_large_high_conviction,very_aggressive,base,large,high_conviction,True,12.56,10.63,2.03,0.00,2,False
very_aggressive_base_large_msft_only,very_aggressive,base,large,msft_only,True,54.02,10.72,1.57,100.00,1,True
very_aggressive_narrow_small_all_enabled,very_aggressive,narrow,small,all_enabled,True,34.14,3.80,4.74,60.00,5,False
very_aggressive_narrow_small_high_conviction,very_aggressive,narrow,small,high_conviction,True,14.84,4.26,3.69,33.30,3,False
very_aggressive_narrow_small_msft_only,very_aggressive,narrow,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
very_aggressive_narrow_normal_all_enabled,very_aggressive,narrow,normal,all_enabled,True,10.76,8.82,2.07,0.00,2,False
very_aggressive_narrow_normal_high_conviction,very_aggressive,narrow,normal,high_conviction,True,10.76,8.82,2.07,0.00,2,False
very_aggressive_narrow_normal_msft_only,very_aggressive,narrow,normal,msft_only,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_narrow_large_all_enabled,very_aggressive,narrow,large,all_enabled,True,61.56,10.08,3.37,50.00,2,True
very_aggressive_narrow_large_high_conviction,very_aggressive,narrow,large,high_conviction,True,61.56,10.08,3.37,50.00,2,True
very_aggressive_narrow_large_msft_only,very_aggressive,narrow,large,msft_only,True,54.02,10.72,1.57,100.00,1,True
very_aggressive_wide_small_all_enabled,very_aggressive,wide,small,all_enabled,True,15.61,4.56,3.59,50.00,2,False
very_aggressive_wide_small_high_conviction,very_aggressive,wide,small,high_conviction,True,15.61,4.56,3.59,50.00,2,False
very_aggressive_wide_small_msft_only,very_aggressive,wide,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
very_aggressive_wide_normal_all_enabled,very_aggressive,wide,normal,all_enabled,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_wide_normal_high_conviction,very_aggressive,wide,normal,high_conviction,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_wide_normal_msft_only,very_aggressive,wide,normal,msft_only,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_wide_large_all_enabled,very_aggressive,wide,large,all_enabled,True,54.02,10.72,1.57,100.00,1,True
very_aggressive_wide_large_high_conviction,very_aggressive,wide,large,high_conviction,True,54.02,10.72,1.57,100.00,1,True
very_aggressive_wide_large_msft_only,very_aggressive,wide,large,msft_only,True,54.02,10.72,1.57,100.00,1,True
aggressive_base_small_all_enabled,aggressive,base,small,all_enabled,True,39.15,3.58,5.32,50.00,4,False
aggressive_base_small_high_conviction,aggressive,base,small,high_conviction,True,18.42,4.22,4.06,33.30,3,False
aggressive_base_small_msft_only,aggressive,base,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
aggressive_base_normal_all_enabled,aggressive,base,normal,all_enabled,True,51.76,8.23,3.71,50.00,2,True
aggressive_base_normal_high_conviction,aggressive,base,normal,high_conviction,True,51.76,8.23,3.71,50.00,2,True
aggressive_base_normal_msft_only,aggressive,base,normal,msft_only,True,43.22,8.84,1.50,100.00,1,True
aggressive_base_large_all_enabled,aggressive,base,large,all_enabled,True,62.56,10.00,3.51,50.00,2,True
aggressive_base_large_high_conviction,aggressive,base,large,high_conviction,True,62.56,10.00,3.51,50.00,2,True
aggressive_base_large_msft_only,aggressive,base,large,msft_only,True,54.02,10.60,1.66,100.00,1,True
aggressive_narrow_small_all_enabled,aggressive,narrow,small,all_enabled,True,34.14,3.80,4.74,60.00,5,False
aggressive_narrow_small_high_conviction,aggressive,narrow,small,high_conviction,True,14.84,4.26,3.69,33.30,3,False
aggressive_narrow_small_msft_only,aggressive,narrow,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
aggressive_narrow_normal_all_enabled,aggressive,narrow,normal,all_enabled,True,50.76,8.29,3.58,50.00,2,True
aggressive_narrow_normal_high_conviction,aggressive,narrow,normal,high_conviction,True,50.76,8.29,3.58,50.00,2,True
aggressive_narrow_normal_msft_only,aggressive,narrow,normal,msft_only,True,43.22,8.84,1.50,100.00,1,True
aggressive_narrow_large_all_enabled,aggressive,narrow,large,all_enabled,True,61.56,9.96,3.51,50.00,2,True
aggressive_narrow_large_high_conviction,aggressive,narrow,large,high_conviction,True,61.56,9.96,3.51,50.00,2,True
aggressive_narrow_large_msft_only,aggressive,narrow,large,msft_only,True,54.02,10.60,1.66,100.00,1,True
aggressive_wide_small_all_enabled,aggressive,wide,small,all_enabled,True,1.61,5.01,0.70,0.00,1,False
aggressive_wide_small_high_conviction,aggressive,wide,small,high_conviction,True,1.61,5.01,0.70,0.00,1,False
aggressive_wide_small_msft_only,aggressive,wide,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
aggressive_wide_normal_all_enabled,aggressive,wide,normal,all_enabled,True,43.22,8.84,1.50,100.00,1,True
aggressive_wide_normal_high_conviction,aggressive,wide,normal,high_conviction,True,43.22,8.84,1.50,100.00,1,True
aggressive_wide_normal_msft_only,aggressive,wide,normal,msft_only,True,43.22,8.84,1.50,100.00,1,True
aggressive_wide_large_all_enabled,aggressive,wide,large,all_enabled,True,54.02,10.60,1.66,100.00,1,True
aggressive_wide_large_high_conviction,aggressive,wide,large,high_conviction,True,54.02,10.60,1.66,100.00,1,True
aggressive_wide_large_msft_only,aggressive,wide,large,msft_only,True,54.02,10.60,1.66,100.00,1,True
base_base_small_all_enabled,base,base,small,all_enabled,True,1.61,5.01,0.70,0.00,1,False
base_base_small_high_conviction,base,base,small,high_conviction,True,1.61,5.01,0.70,0.00,1,False
base_base_small_msft_only,base,base,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
base_base_normal_all_enabled,base,base,normal,all_enabled,True,43.22,8.74,1.58,100.00,1,True
base_base_normal_high_conviction,base,base,normal,high_conviction,True,43.22,8.74,1.58,100.00,1,True
base_base_normal_msft_only,base,base,normal,msft_only,True,43.22,8.74,1.58,100.00,1,True
base_base_large_all_enabled,base,base,large,all_enabled,True,8.26,0.00,4.22,100.00,1,False
base_base_large_high_conviction,base,base,large,high_conviction,True,8.26,0.00,4.22,100.00,1,False
base_base_large_msft_only,base,base,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
base_narrow_small_all_enabled,base,narrow,small,all_enabled,True,1.61,5.01,0.70,0.00,1,False
base_narrow_small_high_conviction,base,narrow,small,high_conviction,True,1.61,5.01,0.70,0.00,1,False
base_narrow_small_msft_only,base,narrow,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
base_narrow_normal_all_enabled,base,narrow,normal,all_enabled,True,43.22,8.74,1.58,100.00,1,True
base_narrow_normal_high_conviction,base,narrow,normal,high_conviction,True,43.22,8.74,1.58,100.00,1,True
base_narrow_normal_msft_only,base,narrow,normal,msft_only,True,43.22,8.74,1.58,100.00,1,True
base_narrow_large_all_enabled,base,narrow,large,all_enabled,True,5.68,0.00,3.49,100.00,1,False
base_narrow_large_high_conviction,base,narrow,large,high_conviction,True,5.68,0.00,3.49,100.00,1,False
base_narrow_large_msft_only,base,narrow,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
base_wide_small_all_enabled,base,wide,small,all_enabled,True,1.61,5.01,0.70,0.00,1,False
base_wide_small_high_conviction,base,wide,small,high_conviction,True,1.61,5.01,0.70,0.00,1,False
base_wide_small_msft_only,base,wide,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
base_wide_normal_all_enabled,base,wide,normal,all_enabled,True,43.22,8.74,1.58,100.00,1,True
base_wide_normal_high_conviction,base,wide,normal,high_conviction,True,43.22,8.74,1.58,100.00,1,True
base_wide_normal_msft_only,base,wide,normal,msft_only,True,43.22,8.74,1.58,100.00,1,True
base_wide_large_all_enabled,base,wide,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
base_wide_large_high_conviction,base,wide,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
base_wide_large_msft_only,base,wide,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_base_small_all_enabled,conservative,base,small,all_enabled,True,21.61,4.71,1.34,100.00,1,True
conservative_base_small_high_conviction,conservative,base,small,high_conviction,True,21.61,4.71,1.34,100.00,1,True
conservative_base_small_msft_only,conservative,base,small,msft_only,True,21.61,4.71,1.34,100.00,1,True
conservative_base_normal_all_enabled,conservative,base,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
conservative_base_normal_high_conviction,conservative,base,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
conservative_base_normal_msft_only,conservative,base,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_base_large_all_enabled,conservative,base,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
conservative_base_large_high_conviction,conservative,base,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
conservative_base_large_msft_only,conservative,base,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_narrow_small_all_enabled,conservative,narrow,small,all_enabled,True,21.61,4.71,1.34,100.00,1,True
conservative_narrow_small_high_conviction,conservative,narrow,small,high_conviction,True,21.61,4.71,1.34,100.00,1,True
conservative_narrow_small_msft_only,conservative,narrow,small,msft_only,True,21.61,4.71,1.34,100.00,1,True
conservative_narrow_normal_all_enabled,conservative,narrow,normal,all_enabled,True,5.68,0.00,3.49,100.00,1,False
conservative_narrow_normal_high_conviction,conservative,narrow,normal,high_conviction,True,5.68,0.00,3.49,100.00,1,False
conservative_narrow_normal_msft_only,conservative,narrow,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_narrow_large_all_enabled,conservative,narrow,large,all_enabled,True,5.68,0.00,3.49,100.00,1,False
conservative_narrow_large_high_conviction,conservative,narrow,large,high_conviction,True,5.68,0.00,3.49,100.00,1,False
conservative_narrow_large_msft_only,conservative,narrow,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_small_all_enabled,conservative,wide,small,all_enabled,True,21.61,4.71,1.34,100.00,1,True
conservative_wide_small_high_conviction,conservative,wide,small,high_conviction,True,21.61,4.71,1.34,100.00,1,True
conservative_wide_small_msft_only,conservative,wide,small,msft_only,True,21.61,4.71,1.34,100.00,1,True
conservative_wide_normal_all_enabled,conservative,wide,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_normal_high_conviction,conservative,wide,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_normal_msft_only,conservative,wide,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_large_all_enabled,conservative,wide,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_large_high_conviction,conservative,wide,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
conservative_wide_large_msft_only,conservative,wide,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_small_all_enabled,very_conservative,base,small,all_enabled,True,21.61,4.65,1.42,100.00,1,True
very_conservative_base_small_high_conviction,very_conservative,base,small,high_conviction,True,21.61,4.65,1.42,100.00,1,True
very_conservative_base_small_msft_only,very_conservative,base,small,msft_only,True,21.61,4.65,1.42,100.00,1,True
very_conservative_base_normal_all_enabled,very_conservative,base,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_normal_high_conviction,very_conservative,base,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_normal_msft_only,very_conservative,base,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_large_all_enabled,very_conservative,base,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_large_high_conviction,very_conservative,base,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_base_large_msft_only,very_conservative,base,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_small_all_enabled,very_conservative,narrow,small,all_enabled,True,21.61,4.65,1.42,100.00,1,True
very_conservative_narrow_small_high_conviction,very_conservative,narrow,small,high_conviction,True,21.61,4.65,1.42,100.00,1,True
very_conservative_narrow_small_msft_only,very_conservative,narrow,small,msft_only,True,21.61,4.65,1.42,100.00,1,True
very_conservative_narrow_normal_all_enabled,very_conservative,narrow,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_normal_high_conviction,very_conservative,narrow,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_normal_msft_only,very_conservative,narrow,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_all_enabled,very_conservative,narrow,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_high_conviction,very_conservative,narrow,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_msft_only,very_conservative,narrow,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_small_all_enabled,very_conservative,wide,small,all_enabled,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_small_high_conviction,very_conservative,wide,small,high_conviction,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_small_msft_only,very_conservative,wide,small,msft_only,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_normal_all_enabled,very_conservative,wide,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_normal_high_conviction,very_conservative,wide,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_normal_msft_only,very_conservative,wide,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_all_enabled,very_conservative,wide,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_high_conviction,very_conservative,wide,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_msft_only,very_conservative,wide,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
